Number,The first digit is,The second digit is,The third digit is,The first digit is ,The second digit is,The third digit is,The sum of the first and second digits is,The sum of the first and third digits is,The sum of the second and third digits is,The sum of all three digits is,The difference of the first and second digits is,The difference of the first and third digits is,The difference of the second and third digits is ,The product of the first and second digits is,The product of the first and third digits is,The product of the second and third digits is,The product of all three digits is ,The mean of the first and second digits is,The mean of the first and third digits is,The mean of the second and third digits is,The mean of all three digits is,The range of all three digits is 
120,1,2,0,a square or a cube number,a prime number,a square or a cube number,3,1,2,3,1,1,2,2,0,0,0,2,1,1,1,2
121,1,2,1,a square or a cube number,a prime number,a square or a cube number,3,2,3,4,1,0,1,2,1,2,2,2,1,2,1,1
122,1,2,2,a square or a cube number,a prime number,a prime number,3,3,4,5,1,1,0,2,2,4,4,2,2,2,2,1
123,1,2,3,a square or a cube number,a prime number,a prime number,3,4,5,6,1,2,1,2,3,6,6,2,2,3,2,2
124,1,2,4,a square or a cube number,a prime number,a square number,3,5,6,7,1,3,2,2,4,8,8,2,3,3,2,3
125,1,2,5,a square or a cube number,a prime number,a prime number,3,6,7,8,1,4,3,2,5,10,10,2,3,4,3,4
126,1,2,6,a square or a cube number,a prime number,a triangular number,3,7,8,9,1,5,4,2,6,12,12,2,4,4,3,5
127,1,2,7,a square or a cube number,a prime number,a prime number,3,8,9,10,1,6,5,2,7,14,14,2,4,5,3,6
128,1,2,8,a square or a cube number,a prime number,a cube number,3,9,10,11,1,7,6,2,8,16,16,2,5,5,4,7
129,1,2,9,a square or a cube number,a prime number,a square number,3,10,11,12,1,8,7,2,9,18,18,2,5,6,4,8
130,1,3,0,a square or a cube number,a prime number,a square or a cube number,4,1,3,4,2,1,3,3,0,0,0,2,1,2,1,3
131,1,3,1,a square or a cube number,a prime number,a square or a cube number,4,2,4,5,2,0,2,3,1,3,3,2,1,2,2,2
132,1,3,2,a square or a cube number,a prime number,a prime number,4,3,5,6,2,1,1,3,2,6,6,2,2,3,2,2
133,1,3,3,a square or a cube number,a prime number,a prime number,4,4,6,7,2,2,0,3,3,9,9,2,2,3,2,2
134,1,3,4,a square or a cube number,a prime number,a square number,4,5,7,8,2,3,1,3,4,12,12,2,3,4,3,3
135,1,3,5,a square or a cube number,a prime number,a prime number,4,6,8,9,2,4,2,3,5,15,15,2,3,4,3,4
136,1,3,6,a square or a cube number,a prime number,a triangular number,4,7,9,10,2,5,3,3,6,18,18,2,4,5,3,5
137,1,3,7,a square or a cube number,a prime number,a prime number,4,8,10,11,2,6,4,3,7,21,21,2,4,5,4,6
138,1,3,8,a square or a cube number,a prime number,a cube number,4,9,11,12,2,7,5,3,8,24,24,2,5,6,4,7
139,1,3,9,a square or a cube number,a prime number,a square number,4,10,12,13,2,8,6,3,9,27,27,2,5,6,4,8
140,1,4,0,a square or a cube number,a square number,a square or a cube number,5.00,1.00,4.00,5.00,3.00,1.00,4.00,4.00,0.00,0.00,0.00,2.50,0.50,2.00,1.67,4.00
141,1,4,1,a square or a cube number,a square number,a square or a cube number,5.00,2.00,5.00,6.00,3.00,0.00,3.00,4.00,1.00,4.00,4.00,2.50,1.00,2.50,2.00,3.00
142,1,4,2,a square or a cube number,a square number,a prime number,5.00,3.00,6.00,7.00,3.00,1.00,2.00,4.00,2.00,8.00,8.00,2.50,1.50,3.00,2.33,3.00
143,1,4,3,a square or a cube number,a square number,a prime number,5.00,4.00,7.00,8.00,3.00,2.00,1.00,4.00,3.00,12.00,12.00,2.50,2.00,3.50,2.67,3.00
144,1,4,4,a square or a cube number,a square number,a square number,5.00,5.00,8.00,9.00,3.00,3.00,0.00,4.00,4.00,16.00,16.00,2.50,2.50,4.00,3.00,3.00
145,1,4,5,a square or a cube number,a square number,a prime number,5.00,6.00,9.00,10.00,3.00,4.00,1.00,4.00,5.00,20.00,20.00,2.50,3.00,4.50,3.33,4.00
146,1,4,6,a square or a cube number,a square number,a triangular number,5.00,7.00,10.00,11.00,3.00,5.00,2.00,4.00,6.00,24.00,24.00,2.50,3.50,5.00,3.67,5.00
147,1,4,7,a square or a cube number,a square number,a prime number,5.00,8.00,11.00,12.00,3.00,6.00,3.00,4.00,7.00,28.00,28.00,2.50,4.00,5.50,4.00,6.00
148,1,4,8,a square or a cube number,a square number,a cube number,5.00,9.00,12.00,13.00,3.00,7.00,4.00,4.00,8.00,32.00,32.00,2.50,4.50,6.00,4.33,7.00
149,1,4,9,a square or a cube number,a square number,a square number,5.00,10.00,13.00,14.00,3.00,8.00,5.00,4.00,9.00,36.00,36.00,2.50,5.00,6.50,4.67,8.00
150,1,5,0,a square or a cube number,a prime number,a square or a cube number,6,1,5,6,4,1,5,5,0,0,0,3,1,3,2,5
151,1,5,1,a square or a cube number,a prime number,a square or a cube number,6,2,6,7,4,0,4,5,1,5,5,3,1,3,2,4
152,1,5,2,a square or a cube number,a prime number,a prime number,6,3,7,8,4,1,3,5,2,10,10,3,2,4,3,4
153,1,5,3,a square or a cube number,a prime number,a prime number,6,4,8,9,4,2,2,5,3,15,15,3,2,4,3,4
154,1,5,4,a square or a cube number,a prime number,a square number,6,5,9,10,4,3,1,5,4,20,20,3,3,5,3,4
155,1,5,5,a square or a cube number,a prime number,a prime number,6,6,10,11,4,4,0,5,5,25,25,3,3,5,4,4
156,1,5,6,a square or a cube number,a prime number,a triangular number,6,7,11,12,4,5,1,5,6,30,30,3,4,6,4,5
157,1,5,7,a square or a cube number,a prime number,a prime number,6,8,12,13,4,6,2,5,7,35,35,3,4,6,4,6
158,1,5,8,a square or a cube number,a prime number,a cube number,6,9,13,14,4,7,3,5,8,40,40,3,5,7,5,7
159,1,5,9,a square or a cube number,a prime number,a square number,6,10,14,15,4,8,4,5,9,45,45,3,5,7,5,8
160,1,6,0,a square or a cube number,a triangular number,a square or a cube number,7,1,6,7,5,1,6,6,0,0,0,4,1,3,2,6
161,1,6,1,a square or a cube number,a triangular number,a square or a cube number,7,2,7,8,5,0,5,6,1,6,6,4,1,4,3,5
162,1,6,2,a square or a cube number,a triangular number,a prime number,7,3,8,9,5,1,4,6,2,12,12,4,2,4,3,5
163,1,6,3,a square or a cube number,a triangular number,a prime number,7,4,9,10,5,2,3,6,3,18,18,4,2,5,3,5
164,1,6,4,a square or a cube number,a triangular number,a square number,7,5,10,11,5,3,2,6,4,24,24,4,3,5,4,5
165,1,6,5,a square or a cube number,a triangular number,a prime number,7,6,11,12,5,4,1,6,5,30,30,4,3,6,4,5
166,1,6,6,a square or a cube number,a triangular number,a triangular number,7,7,12,13,5,5,0,6,6,36,36,4,4,6,4,5
167,1,6,7,a square or a cube number,a triangular number,a prime number,7,8,13,14,5,6,1,6,7,42,42,4,4,7,5,6
168,1,6,8,a square or a cube number,a triangular number,a cube number,7,9,14,15,5,7,2,6,8,48,48,4,5,7,5,7
169,1,6,9,a square or a cube number,a triangular number,a square number,7,10,15,16,5,8,3,6,9,54,54,4,5,8,5,8
170,1,7,0,a square or a cube number,a prime number,a square or a cube number,8,1,7,8,6,1,7,7,0,0,0,4,1,4,3,7
171,1,7,1,a square or a cube number,a prime number,a square or a cube number,8,2,8,9,6,0,6,7,1,7,7,4,1,4,3,6
172,1,7,2,a square or a cube number,a prime number,a prime number,8,3,9,10,6,1,5,7,2,14,14,4,2,5,3,6
173,1,7,3,a square or a cube number,a prime number,a prime number,8,4,10,11,6,2,4,7,3,21,21,4,2,5,4,6
174,1,7,4,a square or a cube number,a prime number,a square number,8,5,11,12,6,3,3,7,4,28,28,4,3,6,4,6
175,1,7,5,a square or a cube number,a prime number,a prime number,8,6,12,13,6,4,2,7,5,35,35,4,3,6,4,6
176,1,7,6,a square or a cube number,a prime number,a triangular number,8,7,13,14,6,5,1,7,6,42,42,4,4,7,5,6
177,1,7,7,a square or a cube number,a prime number,a prime number,8,8,14,15,6,6,0,7,7,49,49,4,4,7,5,6
178,1,7,8,a square or a cube number,a prime number,a cube number,8,9,15,16,6,7,1,7,8,56,56,4,5,8,5,7
179,1,7,9,a square or a cube number,a prime number,a square number,8,10,16,17,6,8,2,7,9,63,63,4,5,8,6,8
180,1,8,0,a square or a cube number,a cube number,a square or a cube number,9,1,8,9,7,1,8,8,0,0,0,5,1,4,3,8
181,1,8,1,a square or a cube number,a cube number,a square or a cube number,9,2,9,10,7,0,7,8,1,8,8,5,1,5,3,7
182,1,8,2,a square or a cube number,a cube number,a prime number,9,3,10,11,7,1,6,8,2,16,16,5,2,5,4,7
183,1,8,3,a square or a cube number,a cube number,a prime number,9,4,11,12,7,2,5,8,3,24,24,5,2,6,4,7
184,1,8,4,a square or a cube number,a cube number,a square number,9,5,12,13,7,3,4,8,4,32,32,5,3,6,4,7
185,1,8,5,a square or a cube number,a cube number,a prime number,9,6,13,14,7,4,3,8,5,40,40,5,3,7,5,7
186,1,8,6,a square or a cube number,a cube number,a triangular number,9,7,14,15,7,5,2,8,6,48,48,5,4,7,5,7
187,1,8,7,a square or a cube number,a cube number,a prime number,9,8,15,16,7,6,1,8,7,56,56,5,4,8,5,7
188,1,8,8,a square or a cube number,a cube number,a cube number,9,9,16,17,7,7,0,8,8,64,64,5,5,8,6,7
189,1,8,9,a square or a cube number,a cube number,a square number,9,10,17,18,7,8,1,8,9,72,72,5,5,9,6,8
190,1,9,0,a square or a cube number,a square number,a square or a cube number,10.00,1.00,9.00,10.00,8.00,1.00,9.00,9.00,0.00,0.00,0.00,5.00,0.50,4.50,3.33,9.00
191,1,9,1,a square or a cube number,a square number,a square or a cube number,10.00,2.00,10.00,11.00,8.00,0.00,8.00,9.00,1.00,9.00,9.00,5.00,1.00,5.00,3.67,8.00
192,1,9,2,a square or a cube number,a square number,a prime number,10.00,3.00,11.00,12.00,8.00,1.00,7.00,9.00,2.00,18.00,18.00,5.00,1.50,5.50,4.00,8.00
193,1,9,3,a square or a cube number,a square number,a prime number,10.00,4.00,12.00,13.00,8.00,2.00,6.00,9.00,3.00,27.00,27.00,5.00,2.00,6.00,4.33,8.00
194,1,9,4,a square or a cube number,a square number,a square number,10.00,5.00,13.00,14.00,8.00,3.00,5.00,9.00,4.00,36.00,36.00,5.00,2.50,6.50,4.67,8.00
195,1,9,5,a square or a cube number,a square number,a prime number,10.00,6.00,14.00,15.00,8.00,4.00,4.00,9.00,5.00,45.00,45.00,5.00,3.00,7.00,5.00,8.00
196,1,9,6,a square or a cube number,a square number,a triangular number,10.00,7.00,15.00,16.00,8.00,5.00,3.00,9.00,6.00,54.00,54.00,5.00,3.50,7.50,5.33,8.00
197,1,9,7,a square or a cube number,a square number,a prime number,10.00,8.00,16.00,17.00,8.00,6.00,2.00,9.00,7.00,63.00,63.00,5.00,4.00,8.00,5.67,8.00
198,1,9,8,a square or a cube number,a square number,a cube number,10.00,9.00,17.00,18.00,8.00,7.00,1.00,9.00,8.00,72.00,72.00,5.00,4.50,8.50,6.00,8.00
199,1,9,9,a square or a cube number,a square number,a square number,10.00,10.00,18.00,19.00,8.00,8.00,0.00,9.00,9.00,81.00,81.00,5.00,5.00,9.00,6.33,8.00
200,2,0,0,a prime number,a square or a cube number,a square or a cube number,2,2,0,2,2,2,0,0,0,0,0,1,1,0,1,2
201,2,0,1,a prime number,a square or a cube number,a square or a cube number,2,3,1,3,2,1,1,0,2,0,0,1,2,1,1,2
202,2,0,2,a prime number,a square or a cube number,a prime number,2,4,2,4,2,0,2,0,4,0,0,1,2,1,1,2
203,2,0,3,a prime number,a square or a cube number,a prime number,2,5,3,5,2,1,3,0,6,0,0,1,3,2,2,3
204,2,0,4,a prime number,a square or a cube number,a square number,2,6,4,6,2,2,4,0,8,0,0,1,3,2,2,4
205,2,0,5,a prime number,a square or a cube number,a prime number,2,7,5,7,2,3,5,0,10,0,0,1,4,3,2,5
206,2,0,6,a prime number,a square or a cube number,a triangular number,2,8,6,8,2,4,6,0,12,0,0,1,4,3,3,6
207,2,0,7,a prime number,a square or a cube number,a prime number,2,9,7,9,2,5,7,0,14,0,0,1,5,4,3,7
208,2,0,8,a prime number,a square or a cube number,a cube number,2,10,8,10,2,6,8,0,16,0,0,1,5,4,3,8
209,2,0,9,a prime number,a square or a cube number,a square number,2,11,9,11,2,7,9,0,18,0,0,1,6,5,4,9
210,2,1,0,a prime number,a square or a cube number,a square or a cube number,3,2,1,3,1,2,1,2,0,0,0,2,1,1,1,2
211,2,1,1,a prime number,a square or a cube number,a square or a cube number,3,3,2,4,1,1,0,2,2,1,2,2,2,1,1,1
212,2,1,2,a prime number,a square or a cube number,a prime number,3,4,3,5,1,0,1,2,4,2,4,2,2,2,2,1
213,2,1,3,a prime number,a square or a cube number,a prime number,3,5,4,6,1,1,2,2,6,3,6,2,3,2,2,2
214,2,1,4,a prime number,a square or a cube number,a square number,3,6,5,7,1,2,3,2,8,4,8,2,3,3,2,3
215,2,1,5,a prime number,a square or a cube number,a prime number,3,7,6,8,1,3,4,2,10,5,10,2,4,3,3,4
216,2,1,6,a prime number,a square or a cube number,a triangular number,3,8,7,9,1,4,5,2,12,6,12,2,4,4,3,5
217,2,1,7,a prime number,a square or a cube number,a prime number,3,9,8,10,1,5,6,2,14,7,14,2,5,4,3,6
218,2,1,8,a prime number,a square or a cube number,a cube number,3,10,9,11,1,6,7,2,16,8,16,2,5,5,4,7
219,2,1,9,a prime number,a square or a cube number,a square number,3,11,10,12,1,7,8,2,18,9,18,2,6,5,4,8
220,2,2,0,a prime number,a prime number,a square or a cube number,4,2,2,4,0,2,2,4,0,0,0,2,1,1,1,2
221,2,2,1,a prime number,a prime number,a square or a cube number,4,3,3,5,0,1,1,4,2,2,4,2,2,2,2,1
222,2,2,2,a prime number,a prime number,a prime number,4,4,4,6,0,0,0,4,4,4,8,2,2,2,2,0
223,2,2,3,a prime number,a prime number,a prime number,4,5,5,7,0,1,1,4,6,6,12,2,3,3,2,1
224,2,2,4,a prime number,a prime number,a square number,4,6,6,8,0,2,2,4,8,8,16,2,3,3,3,2
225,2,2,5,a prime number,a prime number,a prime number,4,7,7,9,0,3,3,4,10,10,20,2,4,4,3,3
226,2,2,6,a prime number,a prime number,a triangular number,4,8,8,10,0,4,4,4,12,12,24,2,4,4,3,4
227,2,2,7,a prime number,a prime number,a prime number,4,9,9,11,0,5,5,4,14,14,28,2,5,5,4,5
228,2,2,8,a prime number,a prime number,a cube number,4,10,10,12,0,6,6,4,16,16,32,2,5,5,4,6
229,2,2,9,a prime number,a prime number,a square number,4,11,11,13,0,7,7,4,18,18,36,2,6,6,4,7
230,2,3,0,a prime number,a prime number,a square or a cube number,5,2,3,5,1,2,3,6,0,0,0,3,1,2,2,3
231,2,3,1,a prime number,a prime number,a square or a cube number,5,3,4,6,1,1,2,6,2,3,6,3,2,2,2,2
232,2,3,2,a prime number,a prime number,a prime number,5,4,5,7,1,0,1,6,4,6,12,3,2,3,2,1
233,2,3,3,a prime number,a prime number,a prime number,5,5,6,8,1,1,0,6,6,9,18,3,3,3,3,1
234,2,3,4,a prime number,a prime number,a square number,5,6,7,9,1,2,1,6,8,12,24,3,3,4,3,2
235,2,3,5,a prime number,a prime number,a prime number,5,7,8,10,1,3,2,6,10,15,30,3,4,4,3,3
236,2,3,6,a prime number,a prime number,a triangular number,5,8,9,11,1,4,3,6,12,18,36,3,4,5,4,4
237,2,3,7,a prime number,a prime number,a prime number,5,9,10,12,1,5,4,6,14,21,42,3,5,5,4,5
238,2,3,8,a prime number,a prime number,a cube number,5,10,11,13,1,6,5,6,16,24,48,3,5,6,4,6
239,2,3,9,a prime number,a prime number,a square number,5,11,12,14,1,7,6,6,18,27,54,3,6,6,5,7
240,2,4,0,a prime number,a square number,a square or a cube number,6.00,2.00,4.00,6.00,2.00,2.00,4.00,8.00,0.00,0.00,0.00,3.00,1.00,2.00,2.00,4.00
241,2,4,1,a prime number,a square number,a square or a cube number,6.00,3.00,5.00,7.00,2.00,1.00,3.00,8.00,2.00,4.00,8.00,3.00,1.50,2.50,2.33,3.00
242,2,4,2,a prime number,a square number,a prime number,6.00,4.00,6.00,8.00,2.00,0.00,2.00,8.00,4.00,8.00,16.00,3.00,2.00,3.00,2.67,2.00
243,2,4,3,a prime number,a square number,a prime number,6.00,5.00,7.00,9.00,2.00,1.00,1.00,8.00,6.00,12.00,24.00,3.00,2.50,3.50,3.00,2.00
244,2,4,4,a prime number,a square number,a square number,6.00,6.00,8.00,10.00,2.00,2.00,0.00,8.00,8.00,16.00,32.00,3.00,3.00,4.00,3.33,2.00
245,2,4,5,a prime number,a square number,a prime number,6.00,7.00,9.00,11.00,2.00,3.00,1.00,8.00,10.00,20.00,40.00,3.00,3.50,4.50,3.67,3.00
246,2,4,6,a prime number,a square number,a triangular number,6.00,8.00,10.00,12.00,2.00,4.00,2.00,8.00,12.00,24.00,48.00,3.00,4.00,5.00,4.00,4.00
247,2,4,7,a prime number,a square number,a prime number,6.00,9.00,11.00,13.00,2.00,5.00,3.00,8.00,14.00,28.00,56.00,3.00,4.50,5.50,4.33,5.00
248,2,4,8,a prime number,a square number,a cube number,6.00,10.00,12.00,14.00,2.00,6.00,4.00,8.00,16.00,32.00,64.00,3.00,5.00,6.00,4.67,6.00
249,2,4,9,a prime number,a square number,a square number,6.00,11.00,13.00,15.00,2.00,7.00,5.00,8.00,18.00,36.00,72.00,3.00,5.50,6.50,5.00,7.00
250,2,5,0,a prime number,a prime number,a square or a cube number,7,2,5,7,3,2,5,10,0,0,0,4,1,3,2,5
251,2,5,1,a prime number,a prime number,a square or a cube number,7,3,6,8,3,1,4,10,2,5,10,4,2,3,3,4
252,2,5,2,a prime number,a prime number,a prime number,7,4,7,9,3,0,3,10,4,10,20,4,2,4,3,3
253,2,5,3,a prime number,a prime number,a prime number,7,5,8,10,3,1,2,10,6,15,30,4,3,4,3,3
254,2,5,4,a prime number,a prime number,a square number,7,6,9,11,3,2,1,10,8,20,40,4,3,5,4,3
255,2,5,5,a prime number,a prime number,a prime number,7,7,10,12,3,3,0,10,10,25,50,4,4,5,4,3
256,2,5,6,a prime number,a prime number,a triangular number,7,8,11,13,3,4,1,10,12,30,60,4,4,6,4,4
257,2,5,7,a prime number,a prime number,a prime number,7,9,12,14,3,5,2,10,14,35,70,4,5,6,5,5
258,2,5,8,a prime number,a prime number,a cube number,7,10,13,15,3,6,3,10,16,40,80,4,5,7,5,6
259,2,5,9,a prime number,a prime number,a square number,7,11,14,16,3,7,4,10,18,45,90,4,6,7,5,7
260,2,6,0,a prime number,a triangular number,a square or a cube number,8,2,6,8,4,2,6,12,0,0,0,4,1,3,3,6
261,2,6,1,a prime number,a triangular number,a square or a cube number,8,3,7,9,4,1,5,12,2,6,12,4,2,4,3,5
262,2,6,2,a prime number,a triangular number,a prime number,8,4,8,10,4,0,4,12,4,12,24,4,2,4,3,4
263,2,6,3,a prime number,a triangular number,a prime number,8,5,9,11,4,1,3,12,6,18,36,4,3,5,4,4
264,2,6,4,a prime number,a triangular number,a square number,8,6,10,12,4,2,2,12,8,24,48,4,3,5,4,4
265,2,6,5,a prime number,a triangular number,a prime number,8,7,11,13,4,3,1,12,10,30,60,4,4,6,4,4
266,2,6,6,a prime number,a triangular number,a triangular number,8,8,12,14,4,4,0,12,12,36,72,4,4,6,5,4
267,2,6,7,a prime number,a triangular number,a prime number,8,9,13,15,4,5,1,12,14,42,84,4,5,7,5,5
268,2,6,8,a prime number,a triangular number,a cube number,8,10,14,16,4,6,2,12,16,48,96,4,5,7,5,6
269,2,6,9,a prime number,a triangular number,a square number,8,11,15,17,4,7,3,12,18,54,108,4,6,8,6,7
270,2,7,0,a prime number,a prime number,a square or a cube number,9,2,7,9,5,2,7,14,0,0,0,5,1,4,3,7
271,2,7,1,a prime number,a prime number,a square or a cube number,9,3,8,10,5,1,6,14,2,7,14,5,2,4,3,6
272,2,7,2,a prime number,a prime number,a prime number,9,4,9,11,5,0,5,14,4,14,28,5,2,5,4,5
273,2,7,3,a prime number,a prime number,a prime number,9,5,10,12,5,1,4,14,6,21,42,5,3,5,4,5
274,2,7,4,a prime number,a prime number,a square number,9,6,11,13,5,2,3,14,8,28,56,5,3,6,4,5
275,2,7,5,a prime number,a prime number,a prime number,9,7,12,14,5,3,2,14,10,35,70,5,4,6,5,5
276,2,7,6,a prime number,a prime number,a triangular number,9,8,13,15,5,4,1,14,12,42,84,5,4,7,5,5
277,2,7,7,a prime number,a prime number,a prime number,9,9,14,16,5,5,0,14,14,49,98,5,5,7,5,5
278,2,7,8,a prime number,a prime number,a cube number,9,10,15,17,5,6,1,14,16,56,112,5,5,8,6,6
279,2,7,9,a prime number,a prime number,a square number,9,11,16,18,5,7,2,14,18,63,126,5,6,8,6,7
280,2,8,0,a prime number,a cube number,a square or a cube number,10,2,8,10,6,2,8,16,0,0,0,5,1,4,3,8
281,2,8,1,a prime number,a cube number,a square or a cube number,10,3,9,11,6,1,7,16,2,8,16,5,2,5,4,7
282,2,8,2,a prime number,a cube number,a prime number,10,4,10,12,6,0,6,16,4,16,32,5,2,5,4,6
283,2,8,3,a prime number,a cube number,a prime number,10,5,11,13,6,1,5,16,6,24,48,5,3,6,4,6
284,2,8,4,a prime number,a cube number,a square number,10,6,12,14,6,2,4,16,8,32,64,5,3,6,5,6
285,2,8,5,a prime number,a cube number,a prime number,10,7,13,15,6,3,3,16,10,40,80,5,4,7,5,6
286,2,8,6,a prime number,a cube number,a triangular number,10,8,14,16,6,4,2,16,12,48,96,5,4,7,5,6
287,2,8,7,a prime number,a cube number,a prime number,10,9,15,17,6,5,1,16,14,56,112,5,5,8,6,6
288,2,8,8,a prime number,a cube number,a cube number,10,10,16,18,6,6,0,16,16,64,128,5,5,8,6,6
289,2,8,9,a prime number,a cube number,a square number,10,11,17,19,6,7,1,16,18,72,144,5,6,9,6,7
290,2,9,0,a prime number,a square number,a square or a cube number,11.00,2.00,9.00,11.00,7.00,2.00,9.00,18.00,0.00,0.00,0.00,5.50,1.00,4.50,3.67,9.00
291,2,9,1,a prime number,a square number,a square or a cube number,11.00,3.00,10.00,12.00,7.00,1.00,8.00,18.00,2.00,9.00,18.00,5.50,1.50,5.00,4.00,8.00
292,2,9,2,a prime number,a square number,a prime number,11.00,4.00,11.00,13.00,7.00,0.00,7.00,18.00,4.00,18.00,36.00,5.50,2.00,5.50,4.33,7.00
293,2,9,3,a prime number,a square number,a prime number,11.00,5.00,12.00,14.00,7.00,1.00,6.00,18.00,6.00,27.00,54.00,5.50,2.50,6.00,4.67,7.00
294,2,9,4,a prime number,a square number,a square number,11.00,6.00,13.00,15.00,7.00,2.00,5.00,18.00,8.00,36.00,72.00,5.50,3.00,6.50,5.00,7.00
295,2,9,5,a prime number,a square number,a prime number,11.00,7.00,14.00,16.00,7.00,3.00,4.00,18.00,10.00,45.00,90.00,5.50,3.50,7.00,5.33,7.00
296,2,9,6,a prime number,a square number,a triangular number,11.00,8.00,15.00,17.00,7.00,4.00,3.00,18.00,12.00,54.00,108.00,5.50,4.00,7.50,5.67,7.00
297,2,9,7,a prime number,a square number,a prime number,11.00,9.00,16.00,18.00,7.00,5.00,2.00,18.00,14.00,63.00,126.00,5.50,4.50,8.00,6.00,7.00
298,2,9,8,a prime number,a square number,a cube number,11.00,10.00,17.00,19.00,7.00,6.00,1.00,18.00,16.00,72.00,144.00,5.50,5.00,8.50,6.33,7.00
299,2,9,9,a prime number,a square number,a square number,11.00,11.00,18.00,20.00,7.00,7.00,0.00,18.00,18.00,81.00,162.00,5.50,5.50,9.00,6.67,7.00
300,3,0,0,a prime number,a square or a cube number,a square or a cube number,3,3,0,3,3,3,0,0,0,0,0,2,2,0,1,3
301,3,0,1,a prime number,a square or a cube number,a square or a cube number,3,4,1,4,3,2,1,0,3,0,0,2,2,1,1,3
302,3,0,2,a prime number,a square or a cube number,a prime number,3,5,2,5,3,1,2,0,6,0,0,2,3,1,2,3
303,3,0,3,a prime number,a square or a cube number,a prime number,3,6,3,6,3,0,3,0,9,0,0,2,3,2,2,3
304,3,0,4,a prime number,a square or a cube number,a square number,3,7,4,7,3,1,4,0,12,0,0,2,4,2,2,4
305,3,0,5,a prime number,a square or a cube number,a prime number,3,8,5,8,3,2,5,0,15,0,0,2,4,3,3,5
306,3,0,6,a prime number,a square or a cube number,a triangular number,3,9,6,9,3,3,6,0,18,0,0,2,5,3,3,6
307,3,0,7,a prime number,a square or a cube number,a prime number,3,10,7,10,3,4,7,0,21,0,0,2,5,4,3,7
308,3,0,8,a prime number,a square or a cube number,a cube number,3,11,8,11,3,5,8,0,24,0,0,2,6,4,4,8
309,3,0,9,a prime number,a square or a cube number,a square number,3,12,9,12,3,6,9,0,27,0,0,2,6,5,4,9
310,3,1,0,a prime number,a square or a cube number,a square or a cube number,4,3,1,4,2,3,1,3,0,0,0,2,2,1,1,3
311,3,1,1,a prime number,a square or a cube number,a square or a cube number,4,4,2,5,2,2,0,3,3,1,3,2,2,1,2,2
312,3,1,2,a prime number,a square or a cube number,a prime number,4,5,3,6,2,1,1,3,6,2,6,2,3,2,2,2
